[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bournemouth To Score In Both Halves WAS 5/2  @ [{'bookieCode': 'BY', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43827516.1*461069613.1*2896272968.1'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Newcastle Win & Both Teams To Score WAS 5/2  @ [{'bookieCode': 'BY', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854503.1*461070186.1*2896277069.1'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Tottenham Win 1-0, 2-0 or 2-1 WAS 11/4  @ [{'bookieCode': 'BY', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854505.1*461070294.1*2896277814.1'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Man Utd To Win & Both Teams To Score  @ [{'bookieCode': 'WH', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6128740060*1711461727*Man+Utd+To+Win+&+Both+Teams+To+Score*Enhanced+Odds*false*OB_EV38960185'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bournemouth To Score In Both Halves (Was 12/5)  @ [{'bookieCode': 'LD', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254840270*1064582420*3211481797*AFC Bournemouth vs Manchester United*Price Boosts*--'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Mateus Fernandes & John McGinn to commit 2 or more fouls each  @ [{'bookieCode': 'PP', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96579063*927.373714858'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Xavi Simons to have 1 or more shots on target from outside the box (Had 1 in his last 2 games in all comps)  @ [{'bookieCode': 'PP', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96579243*927.373717086'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Liverpool Win 1-0, 2-0 or 2-1 WAS 11/4  @ [{'bookieCode': 'BY', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842271.1*461069614.1*2896272979.1'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Newcastle To Win & Both Teams To Score  @ [{'bookieCode': 'WH', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6131504731*1712058717*Newcastle+To+Win+&+Both+Teams+To+Score*Enhanced+Odds*false*OB_EV38960194'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Chelsea Fc To Win To Nil  @ [{'bookieCode': 'WA', 'oddsFractional': '14/5', 'oddsDecimal': '3.8', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2078596651*577201895*16443803'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Kiernan Dewsbury-Hall Anytime Goalscorer  @ [{'bookieCode': 'WA', 'oddsFractional': '14/5', 'oddsDecimal': '3.8', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2078598588*577201895*16443803'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Aaronson and Schade To Each Have 1+ Shots On Target (Was 5/2)  @ [{'bookieCode': 'LD', 'oddsFractional': '14/5', 'oddsDecimal': '3.8', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978608*1064681221*3211819915*Leeds United vs Brentford*Price Boosts*--'}]
